# File: OTAQ_land_protection_L3_IUCN1_2.csv
# Title: land protection fractions by GCAM water basin
# Units: Percent
# Source: OTAQ (Diana Galperin)
# Column types: iccccicnnn
# ----------
GCAM_basin_ID,Basin_name,GLU_code,GLU_name,ISO,ISO_NUM,Country_name,Basin area (Sq. Meters),Suitable Area (Sq. Meters),Percent Suitable
197,Africa_South_Interior,GLU197,AfrIntS,BWA,72,Botswana,"867,582,744,323.00","731,194,395,893.00",84.28%
198,South_Africa_South_Coast,GLU198,AfrCstS,ZAF,710,South Africa,"401,538,191,865.71","349,117,284,504.00",86.94%
199,Limpopo,GLU199,LimpopoR,ZAF,710,South Africa,"411,327,724,348.45","398,259,722,095.00",96.82%
200,La_Puna_Region,GLU200,LaPuna,BOL,68,Bolivia,"349,257,468,885.20","158,406,852,839.00",45.36%
201,New_Zealand,GLU201,NewZealand,NZL,554,New Zealand,"269,930,414,829.47","195,579,104,916.00",72.46%
202,Australia_South_Coast,GLU202,AusCstS,AUS,36,Australia,"493,664,453,906.31","150,383,838,470.00",30.46%
203,Mar_Chiquita,GLU203,MarChiq,ARG,32,Argentina,"126,532,120,839.00","117,709,244,921.00",93.03%
204,South_Africa_West_Coast,GLU204,AfrCstSSW,ZAF,710,South Africa,"102,712,661,827.00","33,783,955,524.90",32.89%
205,Salinas_Grandes,GLU205,Salinas,ARG,32,Argentina,"180,165,238,599.97","144,770,680,982.00",80.35%
206,La_Plata,GLU206,RioLaPlata,BRA,76,Brazil,"3,033,265,723,707.00","2,901,817,152,370.00",95.67%
207,North_Chile_Pacific_Coast,GLU207,ChileCstN,CHL,152,Chile,"269,323,046,321.14","27,424,268,138.90",10.18%
208,Murray_Darling,GLU208,MurrayDrlg,AUS,36,Australia,"934,238,389,628.00","755,003,980,993.00",80.81%
209,Pampas_Region,GLU209,Pampas,ARG,32,Argentina,"172,727,049,353.00","168,388,928,587.00",97.49%
210,North_Argentina_South_Atlantic_Coast,GLU210,ArgCstN,ARG,32,Argentina,"224,893,665,506.80","220,627,815,090.00",98.10%
