# File: A271.freight_coef.csv
# Title: Coefficients of freight inputs to energy and ag commodities
# Units: million tkm per EJ = ton-meters per GJ
# Comments: price-unit-conversion takes into account the following:
#  (1) transportation output unit is 1e6 times the price unit denominator whereas all other sectors are 1e9.
#  (2) transportation price unit is 1990$ whereas others are 1975$.
#  (3) trn_freight costs are 17x higher than rail mode (the dominant mode for some of these fuels). Some de-rating is appropriate.
# Note: the methods are not set up to handle different tkm inputs for different refined liquid fuel commodities (e.g., ref liq industrial, ref liq enduse need to have the same coef in each region)
# Column types: cccccnnnnnn
# ----------
region,supplysector,subsector,technology,minicam.energy.input,price.unit.conversion,1971,1990,2000,2010,2100
USA,traded corn,Indonesia traded corn,Indonesia traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Indonesia traded corn,Indonesia traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,Japan traded corn,Japan traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Japan traded corn,Japan traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,Mexico traded corn,Mexico traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Mexico traded corn,Mexico traded corn,trn_shipping_intl,0.00045208,2000,2000,2000,2000,2000
USA,traded corn,Middle East traded corn,Middle East traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Middle East traded corn,Middle East traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,Pakistan traded corn,Pakistan traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Pakistan traded corn,Pakistan traded corn,trn_shipping_intl,0.00045208,2000,2000,2000,2000,2000
USA,traded corn,Russia traded corn,Russia traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Russia traded corn,Russia traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,South Africa traded corn,South Africa traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,South Africa traded corn,South Africa traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
