# File: A271.freight_cost_adj.csv
# Title: revisions to non-energy costs to counter-balance transport costs explicitly included in LCA_inputs
# Units: 1975$/GJ
# Column types: cccccnn
# ----------
region,supplysector,subsector,technology,minicam.non.energy.input,1971,2100
South Asia,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
South Korea,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
South Korea,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
South Korea,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
South Korea,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
Southeast Asia,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
Southeast Asia,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Southeast Asia,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Southeast Asia,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
Taiwan,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
Taiwan,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Taiwan,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Taiwan,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
Argentina,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
Argentina,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Argentina,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Argentina,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
Colombia,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
Colombia,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Colombia,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Colombia,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
